fullname,language,selectedfiles,numauthors,developers,percentage,size
activeadmin/activeadmin,Ruby,441,43,284,0.15,Medium
ajaxorg/ace,JavaScript,735,86,223,0.39,Medium
alexreisner/geocoder,Ruby,148,36,164,0.22,Small
android/platform_frameworks_base,Java,6221,322,1106,0.29,Large
ansible/ansible,Python,364,48,401,0.12,Medium
apache/cassandra,Java,1337,43,98,0.44,Large
atom/atom-shell,C-Cpp,408,4,36,0.11,Medium
bbatsov/rubocop,Ruby,548,30,98,0.31,Medium
bitcoin/bitcoin,C-Cpp,625,38,230,0.17,Medium
bjorn/tiled,C-Cpp,446,29,91,0.32,Medium
boto/boto,Python,642,85,486,0.17,Medium
bumptech/glide,Java,371,5,11,0.45,Medium
bundler/bundler,Ruby,199,41,367,0.11,Medium
bup/bup,Python,115,10,60,0.17,Small
BVLC/caffe,C-Cpp,260,27,69,0.39,Medium
caskroom/homebrew-cask,Ruby,2625,804,1386,0.58,Large
celery/celery,Python,264,12,251,0.05,Medium
celluloid/celluloid,Ruby,94,13,73,0.18,Small
chef/chef,Ruby,1422,113,427,0.26,Large
clojure/clojure,Java,277,26,113,0.23,Medium
cocos2d/cocos2d-x,C-Cpp,2682,69,365,0.19,Large
codemirror/CodeMirror,JavaScript,379,104,383,0.27,Medium
composer/composer,PHP,350,56,339,0.17,Medium
cucumber/cucumber,Ruby,176,27,193,0.14,Small
diaspora/diaspora,Ruby,1166,99,270,0.37,Medium
divio/django-cms,Python,589,47,233,0.2,Medium
django/django,Python,1805,102,567,0.18,Large
driftyco/ionic,JavaScript,395,13,81,0.16,Medium
dropwizard/dropwizard,Java,440,44,118,0.37,Medium
dropwizard/metrics,Java,201,28,100,0.28,Medium
drupal/drupal,PHP,5659,17,39,0.44,Large
elasticsearch/elasticsearch,Java,3983,63,220,0.29,Large
elasticsearch/logstash,Ruby,125,18,106,0.17,Small
emberjs/ember.js,JavaScript,640,67,423,0.16,Medium
erikhuda/thor,Ruby,81,12,123,0.1,Small
Eugeny/ajenti,Python,289,13,33,0.39,Medium
excilys/androidannotations,Java,624,27,47,0.57,Medium
facebook/osquery,C-Cpp,241,18,29,0.62,Medium
facebook/presto,Java,2035,23,53,0.43,Large
fog/fog,Ruby,4192,165,446,0.37,Large
FriendsOfPHP/PHP-CS-Fixer,PHP,211,33,84,0.39,Medium
fzaninotto/Faker,PHP,338,93,168,0.55,Medium
getsentry/sentry,Python,921,16,152,0.11,Medium
git/git,C-Cpp,1516,266,1078,0.25,Large
github/android,Java,390,10,31,0.32,Medium
github/linguist,Ruby,44,6,131,0.05,Small
gradle/gradle,Java,7365,59,132,0.45,Large
gruntjs/grunt,JavaScript,23,3,28,0.11,Small
haml/haml,Ruby,96,13,99,0.13,Small
Homebrew/homebrew,Ruby,3260,1713,4803,0.36,Large
iojs/io.js,JavaScript,1194,192,486,0.4,Medium
ipython/ipython,Python,701,59,323,0.18,Medium
Itseez/opencv,C-Cpp,1817,68,304,0.22,Large
jadejs/jade,JavaScript,302,23,92,0.25,Medium
janl/mustache.js,JavaScript,121,19,40,0.47,Small
jashkenas/backbone,JavaScript,15,6,248,0.02,Small
jekyll/jekyll,Ruby,159,41,271,0.15,Small
JetBrains/intellij-community,Java,56457,152,207,0.73,Large
jnicklas/capybara,Ruby,148,30,179,0.17,Small
JohnLangford/vowpal_wabbit,C-Cpp,249,30,82,0.37,Medium
joomla/joomla-cms,PHP,2959,72,414,0.17,Large
jquery/jquery,JavaScript,178,22,209,0.11,Small
jquery/jquery-ui,JavaScript,489,34,276,0.12,Medium
jrburke/requirejs,JavaScript,613,9,28,0.32,Medium
justinfrench/formtastic,Ruby,154,22,163,0.13,Small
kivy/kivy,Python,321,30,159,0.19,Medium
koush/ion,Java,115,2,13,0.15,Small
kriswallsmith/assetic,PHP,233,28,105,0.27,Medium
Leaflet/Leaflet,JavaScript,162,19,189,0.1,Small
less/less.js,JavaScript,371,33,174,0.19,Medium
libgdx/libgdx,Java,3347,64,295,0.22,Large
mailpile/Mailpile,Python,318,14,67,0.21,Medium
mbostock/d3,JavaScript,509,21,73,0.29,Medium
meskyanichi/backup,Ruby,202,23,81,0.28,Medium
meteor/meteor,JavaScript,656,25,102,0.25,Medium
mitchellh/vagrant,Ruby,935,78,435,0.18,Medium
mitsuhiko/flask,Python,59,7,119,0.06,Small
moment/moment,JavaScript,216,89,244,0.36,Medium
mongoid/mongoid,Ruby,688,39,291,0.13,Medium
mozilla/pdf.js,JavaScript,155,24,144,0.17,Small
mrdoob/three.js,JavaScript,411,25,209,0.12,Medium
nate-parrott/Flashlight,Python,788,63,75,0.84,Medium
netty/netty,Java,1594,59,155,0.38,Large
nicolasgramlich/AndEngine,Java,599,3,23,0.13,Medium
odoo/odoo,Python,2384,186,754,0.25,Large
omab/django-social-auth,Python,102,39,141,0.28,Small
openframeworks/openFrameworks,C-Cpp,2013,45,162,0.28,Large
paulasmuth/fnordmetric,C-Cpp,417,3,6,0.5,Medium
phacility/phabricator,PHP,3802,70,200,0.35,Large
php/php-src,C-Cpp,15470,256,431,0.59,Large
plataformatec/devise,Ruby,222,34,347,0.1,Medium
powerline/powerline,Python,190,6,38,0.16,Medium
prawnpdf/prawn,Ruby,193,20,98,0.2,Medium
puphpet/puphpet,PHP,306,12,67,0.18,Medium
puppetlabs/puppet,Ruby,2204,136,423,0.32,Large
pydata/pandas,Python,416,38,331,0.11,Medium
rails/rails,Ruby,2330,261,2283,0.11,Large
ratchetphp/Ratchet,PHP,89,3,22,0.14,Small
ReactiveX/RxJava,Java,410,22,62,0.35,Medium
Respect/Validation,PHP,335,22,41,0.54,Medium
resque/resque,Ruby,73,29,185,0.16,Small
rg3/youtube-dl,Python,545,98,238,0.41,Medium
ruby/ruby,Ruby,3482,65,90,0.72,Large
saltstack/salt,Python,1267,227,1067,0.21,Large
sampsyo/beets,Python,131,19,120,0.16,Small
sandstorm-io/capnproto,C-Cpp,228,9,29,0.31,Medium
sass/sass,Ruby,259,13,108,0.12,Medium
scikit-learn/scikit-learn,C-Cpp,441,58,340,0.17,Medium
sebastianbergmann/phpunit,PHP,393,28,146,0.19,Medium
Seldaek/monolog,PHP,148,56,158,0.35,Small
sferik/twitter,Ruby,154,8,104,0.08,Small
SFTtech/openage,C-Cpp,280,12,29,0.41,Medium
Shopify/active_merchant,Ruby,510,101,347,0.29,Medium
silexphp/Silex,PHP,104,12,73,0.16,Small
sparklemotion/nokogiri,Java,320,23,104,0.22,Medium
spotify/luigi,Python,140,34,113,0.3,Small
spring-projects/spring-framework,Java,5849,41,107,0.38,Large
sstephenson/sprockets,Ruby,105,2,61,0.03,Small
strongloop/express,JavaScript,100,11,97,0.11,Small
substack/node-browserify,JavaScript,288,25,82,0.3,Medium
thinkaurelius/titan,Java,1361,7,27,0.26,Large
ThinkUpLLC/ThinkUp,PHP,860,29,84,0.35,Medium
thoughtbot/factory_girl,Ruby,134,12,74,0.16,Small
thoughtbot/paperclip,Ruby,150,18,246,0.07,Small
thumbor/thumbor,Python,182,16,44,0.36,Medium
torvalds/linux,C-Cpp,40171,3035,11319,0.27,Large
TryGhost/Ghost,JavaScript,575,42,169,0.25,Medium
v8/v8,C-Cpp,3746,85,113,0.75,Large
webscalesql/webscalesql-5.6,C-Cpp,4180,233,894,0.26,Large
WordPress/WordPress,PHP,695,34,51,0.67,Medium
wp-cli/wp-cli,PHP,178,24,120,0.2,Small
xetorthio/jedis,Java,134,19,90,0.21,Small
yiisoft/yii2,PHP,1195,80,311,0.26,Large